itemKey,name,type,registry,catalogPresent,catalogGroup,compositionMode,childCount,placement,rotation,moveSnap,color,image,light,glass,fabric,capabilities,bomOk,bomError,persistence,renderer,factoryOk,contractProfile,definition,placeable,gaps
led_floodlight,LED Projektör,led-floodlight,TOP_LIGHT_ITEMS,true,Elektronik & Aydınlatma,,0,top,90,20,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: led_floodlight.,project.modules[] factory state + placement,createLedFloodlightModule,true,top-light,docs/items/definitions/led_floodlight.md,true,BOM hata
illuminated-foam,Işıklı Strafor / Logo,illuminated-foam,NON_CATALOG_ITEMS,false,,,0,wall-overlay,90,10,evet (haloColor),evet (zorunlu imageAssetId),hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: illuminated-foam.,project.modules[] factory state + placement,createIlluminatedFoamModule,true,wall-overlay-image,docs/items/definitions/illuminated-foam.md,true,BOM hata
karolaj,Karolaj,floor,FLOOR_ITEMS,false,,,0,wall,90,50,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: karolaj.,stand.itemKey (eski floorType silinir),,false,,docs/items/definitions/karolaj.md,true,factory üretmez; BOM hata; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
hali,Halı,floor,FLOOR_ITEMS,false,,,0,wall,90,50,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: hali.,stand.itemKey (eski floorType silinir),,false,,docs/items/definitions/hali.md,true,factory üretmez; BOM hata; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
parke-acik,Beyaz Meşe,floor,FLOOR_ITEMS,false,,,0,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: parke-acik.,stand.itemKey (eski floorType silinir),,false,,docs/items/definitions/parke-acik.md,true,factory üretmez; BOM hata; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
parke-sari,Sarı Meşe,floor,FLOOR_ITEMS,false,,,0,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: parke-sari.,stand.itemKey (eski floorType silinir),,false,,docs/items/definitions/parke-sari.md,true,factory üretmez; BOM hata; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
parke-beton,Beton Parke,floor,FLOOR_ITEMS,false,,,0,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: parke-beton.,stand.itemKey (eski floorType silinir),,false,,docs/items/definitions/parke-beton.md,true,factory üretmez; BOM hata; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
door_100,Depo Kapısı 100,door,COMPOSITE_ITEMS,true,Panel & Duvar,recipe,6,wall,90,50,evet (kanat + üst paneller),evet (kanat + üst paneller),hayır,evet (yalnız panel selectionMode),evet (yalnız panel selectionMode),color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createDoorModule,true,wall-editable,docs/items/definitions/door_100.md,true,
BASE_100,Baza 100,base,COMPOSITE_ITEMS,true,Banko & Baza,recipe,8,free,90,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createBaseModule,true,free-editable,docs/items/definitions/BASE_100.md,true,
BASE_150,Baza 150,base,COMPOSITE_ITEMS,true,Banko & Baza,recipe,8,free,90,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createBaseModule,true,free-editable,docs/items/definitions/BASE_150.md,true,
BASE_200,Baza 200,base,COMPOSITE_ITEMS,true,Banko & Baza,recipe,8,free,90,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createBaseModule,true,free-editable,docs/items/definitions/BASE_200.md,true,
desk_banko_100,Banko 100,counter,COMPOSITE_ITEMS,true,Banko & Baza,recipe,8,free,45,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createCounterModule / createLCounterModule (shape L),true,free-editable,docs/items/definitions/desk_banko_100.md,true,
desk_banko_150,Banko 150,counter,COMPOSITE_ITEMS,true,Banko & Baza,recipe,8,free,45,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createCounterModule / createLCounterModule (shape L),true,free-editable,docs/items/definitions/desk_banko_150.md,true,
desk_banko_200,Banko 200,counter,COMPOSITE_ITEMS,true,Banko & Baza,recipe,8,free,45,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createCounterModule / createLCounterModule (shape L),true,free-editable,docs/items/definitions/desk_banko_200.md,true,
desk_banko_100_L,Köşe Banko 100×100,counter,COMPOSITE_ITEMS,true,Banko & Baza,recipe,9,free,90,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createCounterModule / createLCounterModule (shape L),true,free-editable,docs/items/definitions/desk_banko_100_L.md,true,
desk_banko_150_L,Köşe Banko 150×150,counter,COMPOSITE_ITEMS,true,Banko & Baza,recipe,10,free,90,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createCounterModule / createLCounterModule (shape L),true,free-editable,docs/items/definitions/desk_banko_150_L.md,true,
desk_banko_200_L,Köşe Banko 200×200,counter,COMPOSITE_ITEMS,true,Banko & Baza,recipe,10,free,90,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createCounterModule / createLCounterModule (shape L),true,free-editable,docs/items/definitions/desk_banko_200_L.md,true,
wall_50,Panel 50,flat-panel,COMPOSITE_ITEMS,true,Panel & Duvar,recipe,5,wall,90,50,evet,evet,hayır,evet (yalnız panel selectionMode),evet (yalnız panel selectionMode),color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createFlatPanelModule,true,wall-editable,docs/items/definitions/wall_50.md,true,
wall_100,Panel 100,flat-panel,COMPOSITE_ITEMS,true,Panel & Duvar,recipe,5,wall,90,50,evet,evet,hayır,evet (yalnız panel selectionMode),evet (yalnız panel selectionMode),color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createFlatPanelModule,true,wall-editable,docs/items/definitions/wall_100.md,true,
wall_150,Panel 150,flat-panel,COMPOSITE_ITEMS,true,Panel & Duvar,recipe,5,wall,90,50,evet,evet,hayır,evet (yalnız panel selectionMode),evet (yalnız panel selectionMode),color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createFlatPanelModule,true,wall-editable,docs/items/definitions/wall_150.md,true,
wall_200,Panel 200,flat-panel,COMPOSITE_ITEMS,true,Panel & Duvar,recipe,5,wall,90,50,evet,evet,hayır,evet (yalnız panel selectionMode),evet (yalnız panel selectionMode),color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createFlatPanelModule,true,wall-editable,docs/items/definitions/wall_200.md,true,
wall_200_short_up_2,Panel 200 Short Up 2,flat-panel,COMPOSITE_ITEMS,true,Panel Ek Modül,recipe,5,wall,90,50,evet,evet,hayır,evet (yalnız panel selectionMode),evet (yalnız panel selectionMode),color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createFlatPanelModule,true,wall-editable,,true,definition md yok
wall_150_short_up_2,Panel 150 Short Up 2,flat-panel,COMPOSITE_ITEMS,true,Panel Ek Modül,recipe,5,wall,90,50,evet,evet,hayır,evet (yalnız panel selectionMode),evet (yalnız panel selectionMode),color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createFlatPanelModule,true,wall-editable,,true,definition md yok
